127.0.0.1, 2012-01-25 19:44:35, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.409000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.059000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.050000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:35, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:36, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:36, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:45, GET, /welcome/appadmin/index, HTTP/1.1, 303, 0.022000
127.0.0.1, 2012-01-25 19:44:45, GET, /admin/default/index, HTTP/1.1, 200, 0.076000
127.0.0.1, 2012-01-25 19:44:45, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:45, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:45, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:45, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:46, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-01-25 19:44:49, POST, /admin/default/index, HTTP/1.1, 303, 0.065000
127.0.0.1, 2012-01-25 19:44:49, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.038000
127.0.0.1, 2012-01-25 19:44:51, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.063000
127.0.0.1, 2012-01-25 19:44:54, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.073000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.132000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-01-25 19:44:56, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.001000
